Log_NR;STANDORT;STANDORT_NEU;Code_grafana;NORD_CHTOPO;OST_CHTOPO;LV_03_N;LV_03_E;HuM;Art;ZUSTAENDIG;BEFESTIGUNG;Doppel_Messnetz_23;Start;Ende
26;Inselspital;Inselspital;7b36c77aba0d;46.94719;7.42571;2599016.1;1199567.3;543.9;Hauptnetz;BERNMOBIL;Strassenlampe;ja;10.05.2023;
28;Parkli bei Eigerplatz;Parkli bei Eigerplatz;86e2042d6857;46.94195;7.43094;2599414.5;1198984.7;524.5;Hauptnetz;ewb;Pfosten;nein;10.05.2023;
30;Galgenfeld Industrie;Galgenfeld Industrie;634f68b0c0c6;46.95553;7.47194;2602535.5;1200495.3;563.6;Hauptnetz;ewb;Strassenlampe;nein;10.05.2023;
31;Koniz Aussenquartier;Weiermatt;6e0aef9d54be;46.92041;7.40995;2597815.3;1196590.8;577.2;Hauptnetz;Gemeinde Koniz;Strassenlampe;nein;08.05.2023;
32;Bremgartenwald;Bremgartenwald;2343056bd60f;46.95739;7.42128;2598679.5;1200701.4;552.3;Hauptnetz;Burgergemeinde;Baum;ja;16.05.2023;
33;Dahlholzli-Wald;Dahlholzliwald;44d4eaca941f;46.93798;7.45656;2601365.1;1198543.6;535.2;Hauptnetz;Burgergemeinde;Baum (Fichte);ja;;
34;Kasernenareal;Kasernenareal;d0e2d4b4c052;46.95697;7.45801;2601475.3;1200654.6;559.4;Hauptnetz;Kasernenareal;Strassenlampe;ja;08.05.2023;
36;Viktoriarain;Wyttenbachstrasse;017f7c0231ae;46.95518;7.44773;2600682.8;1200455.9;542.9;Hauptnetz;TAB;Verkehrsschild 30, auf ca 2m75;nein;08.05.2023;
37;Lorraine, Steckweg 15;Lorraine;8ba39c865b00;46.95898;7.44513;2660494.4;120887.6;538.1;Hauptnetz;ewb;Strassenlampe;ja;08.05.2023;
38;Spiegel;Spiegel;20b8a59ebf60;46.92607;7.43739;2599905.3;1197218.9;619.8;Hauptnetz;Gemeinde Koniz;Strassenlampe;nein;09.05.2023;
39;Weyermannshaus Industrie;Weyermannshaus Industrie;444fdf760afa;46.949;7.40134;2597160.3;1199757.8;545.9;Hauptnetz;ewb;Strassenlampe;ja;12.05.2023;
41;Monbijou-Park;Monbijou-Park;8032b80c5ec1;46.94187;7.43462;2599694.5;1198975.9;521.4;Hauptnetz;Stadtgrun;Kandelaber FaLLT 2022 AUS;nein;10.05.2023;
42;Gerechtigkeitsgasse 55;Gerechtigkeitsgasse;3299bbe93670;46.9481;7.45351;2601132.3;1199668.8;532.1;Hauptnetz;TAB;Verkehrsschild;nein;12.05.2023;
45;Zytglogge;Zytglogge;69f3833ae157;46.94819;7.4474;2600667.7;1199678.8;539.8;Hauptnetz;BERNMOBIL;Fahrplananzeigemasten;ja;12.05.2023;
48;Viererfeld;Viererfeld 1 (Sportplatz);20e3bdd594dd;46.96512;7.43823;2599969.6;1201560.1;573.2;Hauptnetz;Sportplatz Viererfeld;Scheinwerfermasten;nein;16.05.2023;
